Network,Site_Code,Lon,Lat,Texture,Topo,Site_Info,Corr_Val,RMSE_Val,MinSM,MaxSM,Heuristic,Vert_Shift,Amplitude,Horiz_Shift,Porosity,Res_SM,Drainage,n,Class,Zone,Easting,Northing
ARS,RC12,-116.8051,43.10029,4,3,"Reynolds Creek, ID (ARS)",0.76,15.732,2.5,40.1,0.341595745,0.015,0.013,186.97,31.35,2.25,0.174,450,XTM,11T,515860,4771970
ARS,RC13,-116.7378,43.10343,6,2,"Reynolds Creek, ID (ARS)",0.926,0.586,2.5,19.1,0.890698795,0.023,0.031,162.86,15.24,1.84,0.074,450,XTM,11T,521335,4772333
ARS,RC14,-116.8012,43.08441,4,3,"Reynolds Creek, ID (ARS)",0.666,5.3,2.5,28.5,0.462153846,0.01,0.046,208.73,18.6,2.17,0.081,450,XTM,11T,516181,4770207
ARS,RC15,-116.7802,43.08557,4,0,"Reynolds Creek, ID (ARS)",0.888,2.177,2.5,40.7,0.831010471,0.039,0.039,129.79,37.83,12.15,0.1,450,XTM,11T,517890,4770340
ARS,RC16,-116.8275,43.07752,4,2,"Reynolds Creek, ID (ARS)",0.861,14.229,2.5,40.1,0.482569149,0.03,0.039,158.54,19.14,5.85,0.22,450,XTM,11T,514042,4769437
ARS,RC17,-116.7345,43.07987,3,3,"Reynolds Creek, ID (ARS)",0.579,6.994,2.5,34.7,0.361795031,0.036,0.031,158.25,51.73,1.38,0.053,450,XTM,11T,521612,4769718
ARS,RC18,-116.7946,43.0625,6,2,"Reynolds Creek, ID (ARS)",0.774,7.174,2.5,22.8,0.420600985,0.016,0.032,216.12,13.92,1.68,0.184,450,XTM,11T,516724,4767775
ARS,RC19,-116.759,43.06561,6,3,"Reynolds Creek, ID (ARS)",0.813,2.26,2.5,17.4,0.661322148,0.023,0.028,176.24,16.21,3.3,0.094,450,XTM,11T,519622,4768128
ARS,RC20,-116.7255,43.11817,6,2,"Reynolds Creek, ID (ARS)",0.533,0.682,2.5,7.9,0.406703704,0.027,0.045,184.01,33.74,2.23,0.01,450,XTM,11T,522331,4773974
ARS,SF01,-93.58906,42.54262,6,1,"South Forks, IA (ARS)",0.675,10.462,7.9,74.4,0.517676692,0.049,0.02,155.45,57.72,19.36,0.35,250,ITC,15T,451632,4710193
ARS,SF03,-93.56797,42.45296,6,1,"South Forks, IA (ARS)",0.551,6.186,10,47.9,0.387781003,0.005,0.023,229.91,43.42,15.44,0.367,250,ITC,15T,453297,4700226
ARS,SF05,-93.52158,42.42857,6,1,"South Forks, IA (ARS)",0.606,8.245,15,52,0.383162162,0.048,0.004,153.31,42.26,14.17,0.262,250,ITC,15T,457094,4697493
ARS,SF07,-93.47271,42.51501,6,1,"South Forks, IA (ARS)",0.613,3.942,15.6,41.7,0.461965517,0.013,0.023,207.01,33.78,17.07,0.417,250,ITC,15T,461168,4707068
ARS,SF09,-93.44405,42.44556,6,1,"South Forks, IA (ARS)",0.522,6.32,16.5,52.5,0.346444444,0.016,0.015,235.16,48.52,19.53,0.224,250,ITC,15T,463482,4699343
ARS,SF11,-93.36596,42.42975,6,1,"South Forks, IA (ARS)",0.811,5.116,11.4,50.9,0.681481013,0.013,0.03,227.3,48.4,15.98,0.213,200,ITC,15T,469896,4697557
